Razao Social,Nome Fantasia,Logradouro,numero,Bairro,Municipio,cep,UF
DISKTRANS COMERCIAL LTDA,,ANTONIO OVIDIO RODRIGUES,1389,LOTEAMENTO PARQUE INDUSTRIAL DE JUNDIAI,JUNDIAI,13213180,SP
DISLAB COMERCIAL FARMACEUTICA LTDA.,,ANHANGUERA,SN,PARQUE RESIDENCIAL CANDIDO PORTINARI,RIBEIRAO PRETO,14093500,SP
DISMASA LOGISTICA LTDA,DISMASA,DOS AUTONOMISTAS,4900,KM 18,OSASCO,06194060,SP
DISMAX DISTRIBUICAO E REPRESENTACAO DE PRODUTOS E GENEROS ALIMENTICIOS LTDA,DISMAX DISTRIBUIDORA,ESTEVAO MENDONCA,510,VILA SANTA CATARINA,SAO PAULO,04372050,SP
DISMED - DISTRIBUIDORA DE MEDICAMENTOS OLIMPIA LTDA,DISMED,MENINA MOCA,559,JD. BLANCO,OLIMPIA,15400000,SP
DISMOTOR COMERCIO DE MOTORES ELETRICOS LTDA,,DR. ALBERTO FRANCO LAMUNIER,1424,PARQUE VIA NORTE,CAMPINAS,13065531,SP
DISO - COMERCIO DE ALIMENTOS EIRELI,,JOSE COSTA DE MESQUITA,691,CHACARA ALVORADA,INDAIATUBA,13337200,SP
DISPAFILM DO BRASIL LTDA,,VOLTA GRANDE,174,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,GUARULHOS,07223075,SP
DISPAN INDUSTRIA E COMERCIO LTDA,,JOSE FRANCISCO DA SILVA,133,PARQUE INDUSTRIAL FRITZ BERSIN,NOVA ODESSA,13380248,SP
DISPARCON DISTRIBUIDORA DE PECAS P AR CONDICIONADO LTD,DISPARCON,GLETE,1034,CAMPOS ELISEOS,SAO PAULO,01215001,SP
DISPEMEC DISTRIBUIDORA DE PECAS MECANICAS LTDA,BAP,PARAIBUNA,640,JARDIM SAO DIMAS,SAO JOSE DOS CAMPOS,12245021,SP
DISPLAN ENCOMENDAS URGENTES LTDA,,ENGENHEIRO ALBERT LEIMER,960,JARDIM SAO GERALDO,GUARULHOS,07140020,SP
DISPLOKI DISTRIBUICAO COMERCIO E REPRESENTACOES LTDA,,JOAO FERREIRA CAMARGO,1176,SITIO MUTINGA,BARUERI,06460060,SP
DISSIM DISTRIBUIDORA DE MEDICAMENTOS LTDA,,VALTER JOSE ALVES,605,VILA MIRIM,PRAIA GRANDE,11705030,SP
DISTILLERIE STOCK DO BRASIL LTDA,,JOSE FELIX,87,JARDIM TABOAO,SAO PAULO,05742050,SP
DISTRIB DE FRIOS E LATICINIOS CASTELO DA BEIRA LTDA,,JOAO PEDRO CARDOSO,271,PQ JABAQUARA,SAO PAULO,04355000,SP
DISTRIBUIDORA CHOKDOCE DE FRANCA LTDA,,HEITOR VILA LOBOS,1093,RECREIO CAMPO BELO,FRANCA,14409409,SP
DISTRIBUIDORA DE ALIMENTOS JAPAO LTDA,,VELHA DE ITAPEVI,4296,PARK DAS NACOES,BARUERI,06444000,SP
DISTRIBUIDORA DE BEBIDAS DISTRIBAR LTDA.,DISTRIBUIDORA DE BEBIDAS DISTRIBAR,RIO BARUERI,100,JARDIM BELVAL,BARUERI,06422145,SP
DISTRIBUIDORA DE BEBIDAS MAITAN LTDA,MAITAN ATACADO E VAREJO,CELESTINO LOPES BAHIA,795,VILA SAO LUIZ,OURINHOS,19911205,SP
DISTRIBUIDORA DE BEBIDAS MESSIAS LTDA,,ANA ANGELA R DE ANDRADE,280,JARDIM PAULISTA,ASSIS,19807155,SP
DISTRIBUIDORA DE BEBIDAS MSMS LTDA,,DA PENHA,1144,CENTRO,SOROCABA,18010004,SP
