Logradouro,Longitude,Latitude
"ANTONIO OVIDIO RODRIGUES, JUNDIAI",-47.0202096,-23.1553461
"ANHANGUERA, RIBEIRAO PRETO",-47.7836544,-21.1080964
"DOS AUTONOMISTAS, OSASCO",-46.77125250952865,-23.53577975
"ESTEVAO MENDONCA, SAO PAULO",-46.6571013,-23.6484803
"MENINA MOCA, OLIMPIA",-48.8914883,-20.7374221
"DR. ALBERTO FRANCO LAMUNIER, CAMPINAS",,
"JOSE COSTA DE MESQUITA, INDAIATUBA",,
"VOLTA GRANDE, GUARULHOS",-46.4749482,-23.4580472
"JOSE FRANCISCO DA SILVA, NOVA ODESSA",,
"GLETE, SAO PAULO",-46.7223157,-23.5946033
"PARAIBUNA, SAO JOSE DOS CAMPOS",-45.8266413,-23.261145
"ENGENHEIRO ALBERT LEIMER, GUARULHOS",-46.5069341,-23.4394036
"JOAO FERREIRA CAMARGO, BARUERI",-46.8181583,-23.4993826
"VALTER JOSE ALVES, PRAIA GRANDE",,
"JOSE FELIX, SAO PAULO",-47.9901267,-23.1059046
"JOAO PEDRO CARDOSO, SAO PAULO",-45.4650631,-22.932014
"HEITOR VILA LOBOS, FRANCA",-47.3961569,-20.4942205
"VELHA DE ITAPEVI, BARUERI",-46.8844612,-23.5446045
"RIO BARUERI, BARUERI",-46.8776706,-23.5112629
"CELESTINO LOPES BAHIA, OURINHOS",-49.8822102,-22.9594621
"ANA ANGELA R DE ANDRADE, ASSIS",,
"DA PENHA, SOROCABA",-47.46445776511277,-23.503375300000002
"URANDI, SAO PAULO",-47.3927341,-22.7326859
"VITORIO THOMAZOTTI, LEME",-47.3768853,-22.1913425
"DR TEIXEIRA DE BARROS, SAO CARLOS",,
"APARECIDO DURVAL SIMPIONE, BORACEIA",,
"DOUTOR GASTAO VIDIGAL 1946, SAO PAULO",,
"DOUTOR FABIO SA BARRETO, SAO PAULO",,
"AGRICOLA LA PAZ TRISTANTE, OSASCO",,
"GUARANTA, SAO PAULO",-49.590107,-21.8950705
"CRISTIANO MATHIENSEN, PIRACICABA",-47.6795871,-22.6918085
"GERALDO MARRA, MOCOCA",-47.03105,-21.4712137
"CARLOS ARTENCIO, MARILIA",-49.9231376,-22.2293947
"URUGUAI, RIBEIRAO PRETO",-47.7937192,-21.1389276
"DO RIBEIRAO, CARAPICUIBA",-46.8159004,-23.5155413
"VER JOSE TARAMELLI, SAO SEBASTIAO DA GRAMA",,
"DOS MARACATINS, SAO PAULO",-48.8002375,-22.6201505
"WENCESLAU BRAZ, ITAPETININGA",-48.0222593,-23.5692433
"JOSE ZANETTI, SAO CARLOS",,
"NELSON PALMA TRAVASSOS, SAO PAULO",-46.7230462,-23.4427967
"SARGENTO ACCACIO GONCALVES DOS REIS, ITAQUAQUECETUBA",,
"SYLVIO DE MAGALHAES PADILHA, RIBEIRAO PRETO",-47.800999,-21.0918108
"SANTOS, SAO PAULO",-46.333889,-23.960833
"DOUTOR RENATO PAES DE BARROS, SAO PAULO",,
"PADRE ROQUE, MOGI MIRIM",-46.9759534,-22.4458117
"PIRACEMA, BARUERI",-46.8309268,-23.4989526
"MARGINAL DA VIA ANCHIETA, SANTOS",,
"PEDRO ZOLCSAK, SAO BERNARDO DO CAMPO",-46.5426858,-23.7357582
"NOSSA SENHORA DO SOCORRO, SAO PAULO",-46.1781349,-23.5175299
"CARLO BATAGLINI, LARANJAL PAULISTA",-47.8286832,-23.0351512
"NEYDE MODESTO DE CAMARGO, CAMPINAS",-47.1035132,-22.8555464
"TORRES DE OLIVEIRA, SAO PAULO",,
"ADILIA BARBOSA NEVES, ARUJA",-46.3466494,-23.4029625
"CAF (CHRISTIANO ARTHUR FREDERICH), RIO CLARO",,
"MIRO VETORAZZO, SAO BERNARDO DO CAMPO",,
"CAMPINAS, VALINHOS",-46.99583,-22.97056
"SAO JOSE, MORRO AGUDO",-48.052795,-20.7276692
"BRIGADEIRO FARIA LIMA, SAO PAULO",,
"PALOMA, GUARULHOS",-46.5324485,-23.4253008
"IGARAPAVA, CATANDUVA",,
"SARA ALVARADO BERTANHOLI, VALINHOS",-46.9848229,-22.9702506
"JOSE GETULIO, SAO PAULO",-46.958761,-22.3259706
"MARGINAL FRANCISCO VIEIRA CALEIR, SERTAOZINHO",,
"DR. SEBASTIAO DE MORAES, SAO CARLOS",,
"CASSIANO RICARDO, SAO JOSE DOS CAMPOS",,
"DOUTOR MELLO NOGUEIRA, SAO PAULO",-47.0306733,-22.8672512
"MASATO SAKAI, FERRAZ DE VASCONCELOS",-46.3867269,-23.5281512
"THIRSO MICALI, TAQUARITINGA",,
"CORONEL FERNANDO FERREIRA LEITE, RIBEIRAO PRETO",-47.8154764,-21.2070874
"TEREZA CRIVAL SUZEGAN, SANTO ANTONIO DE POSSE",,
"DOUTOR VIRGILIO DE CARVALHO PINTO, SAO PAULO",,
"DR.JOAO J.RODRIGUES, TIETE",,
"CELSO GARCIA, SAO PAULO",-46.56731224004975,-23.4744715
"PORTO DA FOLHA, SAO PAULO",,
"DIRCEU DIAS CARNEIRO,, SANTA BARBARA D'OESTE",-47.3816078,-22.7660709
"RUMI DE RANIERI, SAO PAULO",,
"BELO HORIZONTE, COTIA",-44.0430961,-19.8685279
"BERNARDINO DE CAMPOS, RIBEIRAO PRETO",,
"PRESIDENTE WILSON, SAO VICENTE",-46.3705513,-23.971266
"MIGUEL GUIDOTTI, LIMEIRA",-47.3878799,-22.5289534
"BEZERRA DE MENEZES, GUARULHOS",,
"LOURENCO BELLOLI, OSASCO",-46.7802084,-23.4965853
"GUILHERME LINO DOS SANTOS, GUARULHOS",-46.501536,-23.4585469
"SINESIO PAES DE BARROS, JAU",-48.5567138,-22.272504
"ARMANDO STECK, LOUVEIRA",-46.9496585,-23.0891806
"DOUTOR GUILHERME CAMPOS, CAMPINAS",-47.012154,-23.0042767
"MARIA DE LOURDES, DIADEMA",,
"JOSE CAMPANELLA, GUARULHOS",-46.513919555075745,-23.468998050000003
"DO PARAISO, SAO PAULO",-80.2288848,-3.4643936
"PRESCILIANO PINTO, SAO JOSE DO RIO PRETO",-49.4023049,-20.8226481
"REGIS BITTENCOURT, TABOAO DA SERRA",-46.7585562,-23.6086664
"MARIA GARCIA UTRILLA, GUARULHOS",,
"JOAO COLLINO, OSASCO",,
"DR. COSTA JUNIOR, SAO PAULO",,
"DOMINGOS LOPES DA SILVA, SAO PAULO",,
"PREFEITO CASSIANO GONCALVES PASSOS, FRANCISCO MORATO",,
"POMPEIA, SAO PAULO",-50.1720753,-22.1088293
"DOM PEDRO I (SP-65), ITATIBA",,
"RODOVIA DO ACUCAR SP308 A RODOVIA ESTADUAL SP127, RIO DAS PEDRAS",,
"VITORINO MONTEIRO, ITARARE",-49.2973233,-24.1100629
"COREIA DO SUL, PIRACICABA",,
"JOAQUIM BOER, AMERICANA",-47.2989382,-22.7355216
"SANTA MARIA DO PARA, GUARULHOS",,
"2, SANTA GERTRUDES",-47.532034,-22.4590897
"PIRACEMA 1400, BARUERI",-46.8333037,-23.5091965
"JOAO PAULO DA SILVA, SAO PAULO",,
"DOS JURUPIS, SAO PAULO",-47.0720151,-22.854299
"HENRIQUETA MENDES GUERRA, BARUERI",-46.8813611,-23.5108133
"DOS CASA, SAO BERNARDO DO CAMPO",-46.5506747,-23.7080345
"WILTON REIS COSTA, SAO JOSE DOS CAMPOS",-45.9175689,-23.2629101
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"DAS NACOES UNIDAS, SAO PAULO",-46.6946043,-23.6025397
"JORNALISTA FRANCISCO AGUIRRA PROENCA,, HORTOLANDIA",,
"QUITANDUBA, SAO PAULO",-46.7164274,-23.5821182
"PAULISTA 37, SAO PAULO",-47.6572739,-22.7377645
"OSASCO, CAJAMAR",-46.7745115,-23.500838
"JOSE PACHECO DO NASCIMENTO, ILHABELA",,
"PRESIDENTE JUSCELINO KUBITSCHEK 1909, SAO PAULO",,
"TAIPAS DE PEDRA, SAO ROQUE",,
"PRESIDENTE JUSCELINO KUBITSCHEK 1830, SAO PAULO",,
"JOAQUIM LAPAS VEIGA, SAO PAULO",-46.7750281,-23.5829384
"ANGELICA, SAO PAULO",-47.3071784,-22.7457168
"PUCURUI, BARUERI",-46.8295502,-23.499132
"PUCURUI, BARUERI",-46.8295502,-23.499132
"LUIZ GATTI, SAO PAULO",-46.7859264,-23.4968657
"ARNALDO MAGNICCARO, SAO PAULO",-46.6870547,-23.6746031
"SANTA JUSTINA, SAO PAULO",-46.6737219,-23.5945861
"LAZARO GONCALVES DE OLIVEIRA, SANTA BARBARA D'OESTE",,
"ATILIO BALBO, SERTAOZINHO",-47.966974,-21.1614912
"DOUTOR SAMPAIO VIDAL, SAO PAULO",-46.5402300796224,-23.56717855
"SANTA EMILIA, SAO PAULO",-47.1777892,-22.8885945
